Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Dangerous,0.0,0.038,0.0,0.019,0.038,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.077,0.0,0.0,0.0,0.019,0.0,0.038,0.019,0.0,0.0,0.0,0.0,0.058,0.0,0.038,0.019,0.019,0.0,0.308,0.019,0.019,0.0,0.038,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.038
Sublime,0.0,0.067,0.022,0.0,0.022,0.044,0.022,0.067,0.0,0.0,0.044,0.022,0.022,0.0,0.044,0.0,0.044,0.022,0.0,0.0,0.0,0.111,0.044,0.0,0.0,0.044,0.067,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.133,0.0,0.044,0.0,0.044,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0
Eulogy,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.071,0.048,0.024,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.024,0.024,0.0,0.048,0.024,0.024,0.024,0.0,0.024,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.048,0.024,0.048,0.0,0.0,0.048,0.0,0.024,0.024,0.0
Moonwalk,0.0,0.0,0.018,0.0,0.018,0.0,0.018,0.036,0.0,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.054,0.018,0.018,0.018,0.036,0.0,0.018,0.018,0.018,0.0,0.0,0.0,0.071,0.054,0.054,0.054,0.054,0.0,0.054,0.0,0.036,0.107,0.0,0.018,0.036,0.036,0.0,0.0,0.0,0.036,0.0,0.0,0.036,0.0
Abjure,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.041,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.327,0.02,0.061,0.0,0.0,0.041,0.02,0.041,0.02,0.02,0.0,0.102
Kitchenette,0.0,0.0,0.017,0.0,0.0,0.0,0.051,0.0,0.051,0.0,0.051,0.034,0.017,0.0,0.017,0.0,0.034,0.0,0.0,0.017,0.034,0.034,0.017,0.017,0.017,0.0,0.0,0.0,0.034,0.0,0.0,0.017,0.017,0.0,0.034,0.0,0.051,0.119,0.034,0.203,0.017,0.017,0.017,0.0,0.017,0.0,0.0,0.0,0.017,0.0
Ring,0.0,0.0,0.039,0.02,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.039,0.0,0.0,0.02,0.039,0.039,0.0,0.039,0.039,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.039,0.0,0.02,0.039,0.039,0.0,0.294,0.0,0.02,0.0,0.0,0.0,0.0,0.059,0.02,0.02
Envelope,0.0,0.017,0.0,0.017,0.0,0.033,0.033,0.0,0.033,0.017,0.017,0.067,0.017,0.033,0.0,0.017,0.05,0.0,0.017,0.0,0.033,0.0,0.017,0.033,0.033,0.05,0.0,0.017,0.0,0.017,0.0,0.05,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.017,0.017,0.183,0.033,0.0,0.067,0.0,0.033,0.017,0.0,0.0
Inflatable,0.0,0.018,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.055,0.055,0.0,0.0,0.0,0.0,0.018,0.0,0.036,0.0,0.018,0.0,0.036,0.0,0.018,0.018,0.091,0.018,0.0,0.018,0.018,0.0,0.0,0.055,0.0,0.0,0.018,0.309,0.0,0.018,0.036,0.018,0.055,0.0,0.018
Mine,0.019,0.019,0.056,0.0,0.0,0.019,0.037,0.056,0.0,0.019,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.037,0.019,0.0,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.019,0.019,0.019,0.019,0.0,0.037,0.019,0.0,0.0,0.0,0.0,0.019,0.019,0.019,0.0,0.352,0.0,0.074,0.0,0.0,0.0,0.0
Celebrate,0.039,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.059,0.02,0.02,0.02,0.0,0.0,0.039,0.0,0.02,0.059,0.0,0.0,0.0,0.02,0.0,0.02,0.039,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.039,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.02,0.059,0.0,0.294,0.039,0.02,0.0,0.0,0.02
Inimical,0.0,0.0,0.0,0.05,0.017,0.0,0.0,0.083,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.05,0.0,0.017,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.0,0.017,0.067,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.033,0.0,0.0,0.1,0.0,0.4,0.0,0.017,0.0,0.0
Reporter,0.02,0.0,0.0,0.02,0.02,0.0,0.04,0.0,0.06,0.02,0.02,0.02,0.02,0.02,0.04,0.0,0.04,0.02,0.0,0.02,0.02,0.02,0.06,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.24,0.0,0.02,0.02
Blackboard,0.0,0.0,0.021,0.021,0.0,0.021,0.042,0.0,0.0,0.021,0.0,0.021,0.021,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.021,0.0,0.0,0.0,0.0,0.0,0.062,0.021,0.0,0.0,0.021,0.021,0.0,0.042,0.0,0.021,0.042,0.021,0.0,0.021,0.021,0.0,0.292,0.062,0.0
Parenthesis,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.042,0.021,0.042,0.0,0.021,0.021,0.021,0.0,0.021,0.021,0.0,0.0,0.0,0.0,0.021,0.021,0.0,0.042,0.0,0.0,0.062,0.021,0.042,0.042,0.021,0.021,0.0,0.021,0.062,0.0,0.0,0.0,0.021,0.021,0.0,0.0,0.021,0.021,0.042,0.021,0.042,0.125,0.021
Etymology,0.0,0.032,0.0,0.0,0.0,0.032,0.0,0.0,0.016,0.032,0.032,0.0,0.016,0.0,0.016,0.0,0.048,0.0,0.0,0.016,0.0,0.0,0.0,0.048,0.032,0.0,0.016,0.016,0.048,0.016,0.0,0.0,0.0,0.0,0.048,0.0,0.016,0.016,0.065,0.016,0.032,0.032,0.048,0.016,0.0,0.0,0.0,0.016,0.032,0.242
