Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Zestful,0.0,0.0,0.018,0.018,0.0,0.018,0.036,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.109,0.0,0.0,0.036,0.0,0.018,0.055,0.0,0.036,0.018,0.018,0.036,0.0,0.0,0.0,0.036,0.036,0.0,0.0,0.0,0.036,0.018,0.0,0.073,0.0,0.0,0.0,0.145,0.018,0.055,0.036,0.018
Citizen,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.03,0.03,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.091,0.03,0.0,0.03,0.0,0.152,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.061,0.0,0.03,0.0
Tree,0.0,0.05,0.05,0.025,0.0,0.0,0.0,0.1,0.05,0.0,0.025,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.075,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.1,0.0,0.0,0.05,0.025,0.0,0.025,0.0,0.025,0.025,0.0,0.025,0.075,0.025,0.0,0.05,0.075
Tabletop,0.037,0.0,0.0,0.019,0.0,0.0,0.019,0.056,0.0,0.0,0.074,0.0,0.019,0.148,0.0,0.0,0.019,0.037,0.056,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.037,0.056,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.074,0.0,0.056,0.0,0.0,0.019,0.019,0.0,0.074,0.019,0.0,0.093,0.019,0.0
Dark,0.0,0.073,0.049,0.0,0.0,0.049,0.0,0.049,0.024,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.073,0.049,0.0,0.024,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.049,0.073,0.0,0.049,0.0,0.024,0.024,0.0,0.024,0.0,0.0,0.049,0.024,0.0,0.024,0.073,0.024
Marshmallow,0.0,0.043,0.0,0.0,0.0,0.0,0.021,0.021,0.0,0.0,0.021,0.0,0.043,0.0,0.0,0.064,0.0,0.0,0.0,0.021,0.021,0.0,0.0,0.0,0.043,0.0,0.021,0.021,0.043,0.021,0.0,0.0,0.0,0.043,0.0,0.0,0.106,0.0,0.0,0.0,0.064,0.0,0.021,0.0,0.043,0.021,0.043,0.021,0.234,0.0
Carsick,0.0,0.0,0.061,0.02,0.02,0.061,0.041,0.082,0.0,0.0,0.122,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.102,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.082,0.02,0.0,0.0,0.041,0.0,0.0,0.02,0.0,0.02,0.02,0.061,0.061,0.0
Termination,0.0,0.0,0.02,0.0,0.0,0.041,0.082,0.041,0.02,0.0,0.041,0.0,0.082,0.0,0.0,0.02,0.0,0.041,0.0,0.0,0.061,0.122,0.0,0.02,0.0,0.0,0.02,0.0,0.041,0.0,0.0,0.02,0.0,0.0,0.143,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.102,0.0
Recount,0.022,0.022,0.022,0.0,0.0,0.0,0.043,0.0,0.109,0.022,0.043,0.0,0.065,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.022,0.0,0.0,0.043,0.022,0.0,0.109,0.087,0.022,0.0,0.065,0.022,0.043,0.022,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.0,0.0,0.022,0.0
Damage,0.0,0.019,0.0,0.0,0.019,0.075,0.038,0.038,0.0,0.0,0.0,0.0,0.019,0.038,0.0,0.0,0.0,0.019,0.019,0.057,0.057,0.019,0.0,0.038,0.0,0.057,0.0,0.038,0.226,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.019,0.038,0.038,0.0,0.0,0.0,0.019
Vineyard,0.0,0.02,0.06,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1,0.02
Gigantic,0.02,0.02,0.02,0.0,0.0,0.02,0.08,0.02,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.06,0.0,0.02,0.04,0.0,0.02,0.0,0.02,0.02,0.02,0.1,0.0,0.04,0.0,0.02,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.02,0.14,0.04,0.02
Mascot,0.0,0.019,0.019,0.0,0.038,0.0,0.094,0.057,0.038,0.038,0.019,0.0,0.019,0.038,0.0,0.0,0.019,0.038,0.0,0.0,0.132,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.019,0.057,0.132,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.113,0.019,0.0
Magnificent,0.0,0.0,0.0,0.048,0.0,0.0,0.048,0.048,0.024,0.0,0.119,0.0,0.071,0.0,0.024,0.0,0.048,0.0,0.0,0.0,0.048,0.0,0.0,0.024,0.024,0.048,0.0,0.0,0.048,0.071,0.0,0.024,0.0,0.0,0.048,0.0,0.024,0.0,0.024,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.024,0.071,0.0,0.048
Lifeline,0.0,0.0,0.0,0.0,0.024,0.0,0.049,0.024,0.024,0.0,0.171,0.0,0.024,0.049,0.0,0.049,0.0,0.073,0.049,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.024,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.024,0.0,0.024,0.0,0.024,0.0,0.049,0.024,0.073,0.0
Decorum,0.0,0.07,0.018,0.018,0.0,0.053,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.088,0.0,0.035,0.0,0.0,0.0,0.035,0.035,0.07,0.0,0.0,0.088,0.0,0.0,0.0,0.035,0.018,0.0,0.018,0.0,0.035,0.0,0.035,0.018,0.0
Perpetrator,0.0,0.0,0.0,0.0,0.024,0.049,0.049,0.024,0.0,0.0,0.049,0.0,0.0,0.073,0.0,0.024,0.0,0.024,0.098,0.0,0.0,0.0,0.0,0.024,0.073,0.049,0.0,0.024,0.073,0.024,0.0,0.0,0.0,0.049,0.0,0.0,0.024,0.0,0.024,0.0,0.0,0.024,0.0,0.024,0.024,0.073,0.024,0.049,0.0,0.0
Bookworm,0.019,0.0,0.038,0.019,0.057,0.057,0.019,0.094,0.019,0.0,0.0,0.0,0.075,0.038,0.0,0.019,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.019,0.019,0.038,0.038,0.0,0.019,0.038,0.113,0.0,0.057,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.019,0.0,0.0,0.019,0.0
Engender,0.0,0.0,0.078,0.0,0.039,0.0,0.157,0.02,0.059,0.0,0.059,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.059,0.0,0.02,0.0,0.0,0.0,0.02,0.235,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.039,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0
Future,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.148,0.0,0.0,0.0,0.049,0.066,0.016,0.0,0.0,0.0,0.033,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.033,0.0,0.016,0.033,0.049,0.016,0.016,0.115,0.016,0.049,0.0,0.016,0.0,0.016,0.016,0.0,0.016,0.0,0.0,0.066,0.0
Grandnieces,0.0,0.023,0.045,0.0,0.045,0.068,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.023,0.0,0.023,0.0,0.0,0.023,0.023,0.0,0.023,0.023,0.091,0.0,0.0,0.068,0.023,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.045,0.0,0.023,0.045,0.091,0.068
Fish,0.022,0.0,0.0,0.044,0.0,0.022,0.0,0.044,0.022,0.0,0.089,0.0,0.044,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.222,0.044,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.067,0.0,0.067,0.0,0.067,0.0,0.0,0.067
Teamwork,0.0,0.018,0.0,0.018,0.0,0.036,0.018,0.127,0.0,0.0,0.018,0.0,0.091,0.036,0.0,0.0,0.0,0.018,0.055,0.0,0.036,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.109,0.055,0.109,0.0,0.036,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.0,0.036,0.0,0.036,0.0,0.036
Way,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.026,0.079,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.026,0.105,0.0,0.0,0.026,0.026,0.026,0.158,0.132,0.026,0.0,0.0,0.026,0.053,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.079,0.0,0.026,0.0
Dangerous,0.0,0.058,0.058,0.019,0.077,0.058,0.019,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.038,0.0,0.0,0.0,0.019,0.038,0.038,0.0,0.0,0.077,0.0,0.0,0.096,0.0,0.038,0.0,0.058,0.0,0.038,0.0,0.0,0.0,0.0,0.019,0.0,0.038,0.0,0.115
Sublime,0.0,0.067,0.156,0.0,0.0,0.067,0.0,0.111,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.067,0.0,0.0,0.0,0.0,0.022,0.044,0.0,0.0,0.0,0.022,0.0,0.022,0.044,0.0,0.0,0.044,0.0,0.067,0.044,0.0,0.111,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.022
Eulogy,0.0,0.048,0.0,0.0,0.048,0.024,0.0,0.048,0.071,0.0,0.0,0.0,0.167,0.0,0.0,0.048,0.0,0.024,0.048,0.0,0.071,0.0,0.0,0.0,0.0,0.048,0.0,0.071,0.048,0.0,0.0,0.048,0.0,0.0,0.024,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.071,0.0
Moonwalk,0.0,0.071,0.0,0.018,0.0,0.018,0.0,0.018,0.071,0.0,0.018,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.036,0.0,0.0,0.036,0.018,0.018,0.071,0.0,0.089,0.036,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.036,0.0,0.054,0.036,0.036
Abjure,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.122,0.0,0.082,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.061,0.02,0.0,0.0,0.082,0.02,0.02,0.041,0.041,0.02,0.0,0.041,0.0,0.0,0.02,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.102
Kitchenette,0.0,0.0,0.034,0.0,0.017,0.017,0.017,0.0,0.017,0.0,0.102,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.017,0.0,0.119,0.0,0.0,0.017,0.102,0.0,0.017,0.0,0.051,0.051,0.0,0.034,0.0,0.0,0.136,0.0,0.017,0.017,0.068,0.0,0.017,0.0,0.0,0.0,0.034,0.0,0.017,0.017,0.034,0.017
Ring,0.0,0.039,0.02,0.02,0.0,0.039,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.059,0.0,0.0,0.0,0.02,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.039,0.0,0.059,0.0,0.02,0.0,0.059,0.0,0.0,0.02,0.059,0.02,0.02,0.216
Envelope,0.067,0.017,0.017,0.033,0.0,0.017,0.033,0.0,0.017,0.0,0.017,0.0,0.017,0.067,0.0,0.017,0.033,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.0,0.0,0.1,0.033,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.017,0.017,0.017,0.0,0.033,0.017,0.017,0.133,0.1,0.0
Inflatable,0.0,0.018,0.018,0.055,0.0,0.0,0.018,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.036,0.0,0.018,0.055,0.0,0.018,0.018,0.0,0.018,0.073,0.018,0.0,0.018,0.0,0.0,0.0,0.164,0.091,0.0,0.036,0.0,0.018,0.0,0.055,0.0,0.0,0.018,0.109,0.0,0.036,0.018,0.0,0.055,0.0,0.0
Mine,0.019,0.019,0.0,0.0,0.074,0.019,0.019,0.056,0.0,0.0,0.037,0.0,0.056,0.0,0.0,0.074,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.037,0.019,0.0,0.0,0.074,0.148,0.037,0.0,0.019,0.0,0.0,0.019,0.0,0.056,0.0,0.019,0.0,0.037,0.0,0.0,0.037,0.0,0.074,0.0,0.0,0.0,0.019
Celebrate,0.02,0.02,0.0,0.0,0.0,0.0,0.118,0.0,0.059,0.02,0.039,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.02,0.0,0.039,0.02,0.0,0.02,0.059,0.0,0.0,0.098,0.0,0.0,0.0,0.02,0.039,0.059,0.0,0.0,0.0,0.039,0.039,0.0,0.02,0.0,0.0,0.0,0.059,0.039,0.02,0.02,0.02,0.0
Inimical,0.0,0.017,0.017,0.017,0.0,0.05,0.033,0.017,0.017,0.0,0.033,0.0,0.117,0.017,0.0,0.0,0.0,0.017,0.033,0.0,0.0,0.0,0.0,0.017,0.017,0.1,0.0,0.017,0.033,0.0,0.0,0.033,0.0,0.0,0.017,0.0,0.083,0.017,0.05,0.0,0.0,0.0,0.017,0.033,0.017,0.167,0.0,0.0,0.0,0.0
Reporter,0.0,0.02,0.08,0.0,0.06,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.0,0.1,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.02,0.06,0.0
Blackboard,0.042,0.042,0.021,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.042,0.021,0.0,0.0,0.0,0.062,0.0,0.0,0.021,0.083,0.021,0.0,0.0,0.083,0.0,0.0,0.0,0.062,0.0,0.021,0.0,0.0,0.0,0.042,0.0,0.125,0.0
Parenthesis,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.042,0.0,0.0,0.021,0.021,0.0,0.0,0.021,0.021,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.062,0.0,0.0,0.021,0.0,0.021,0.0,0.083,0.0,0.021,0.0,0.062,0.021,0.042,0.042,0.271,0.021
Etymology,0.016,0.0,0.0,0.081,0.0,0.032,0.097,0.016,0.032,0.0,0.0,0.0,0.048,0.0,0.0,0.016,0.0,0.0,0.0,0.016,0.065,0.0,0.0,0.048,0.016,0.0,0.0,0.0,0.065,0.0,0.0,0.032,0.016,0.0,0.016,0.0,0.032,0.0,0.065,0.0,0.016,0.016,0.0,0.0,0.016,0.0,0.016,0.145,0.032,0.048
